user,lat,lon
Point,45.34355814133522,9.008397547548649
Point,45.35260185866479,9.008396526450278
Point,45.34355814133522,9.02117845245135
Point,45.35260185866479,9.02117947354972
mic,45.34556604310409,9.012263164145784
Sam,45.351617208636156,9.01328601892759
Giu,45.346578340354604,9.020373467658214
Gia,45.34958116811882,9.019362807390305
Алё,45.351594971591396,9.019322722840656
Sal,45.35566422658682,9.016304549694317
Ste,45.33779757322797,9.017312260462203
Fra,45.35260954004022,9.024292047632194
mat,45.33047778972754,9.01934576017534
Ale,45.37869142786565,9.033484339550279
😉 ,45.38173071118244,9.02848761817917
Sal,45.38768136825948,8.984981568025832
Ale,45.38765734209817,8.98295317644583
Dan,45.39472070222197,8.984935045412218
Mor,45.39571097381161,8.98191549510924
Chr,45.39777618867968,8.988973997060311
Ale,45.397721927078045,8.981889365250382
Jac,45.398699838634656,8.976870187717061
Ann,45.40186514801225,9.026445518151501
Iva,45.40286099219764,9.029473692606713
Ant,45.403863543618115,9.029502254100203
ale,45.403760663131216,8.981862540840932
Gio,45.4038329351178,9.037565403456023
OKI,45.38847092557493,8.942966187253697
Gia,45.40682996482421,9.039636083125872
Ta ,45.39854734389017,8.949837907625806
Max,45.404649422665,8.96179360465768
😘,45.39651592555214,8.941892121738839
Ale,45.398478499636965,8.938830159772875
sim,45.41797014478954,9.012273541266833
Sim,45.3934532150918,8.926959225386627
Aji,45.41691409273843,9.038579506587814
Ast,45.40047864490114,8.935814304992348
Rox,45.39039032031592,8.920971477580178
Fab,45.39844691828691,8.930847156379215
Ste,45.40050141859614,8.933860346483858
Teo,45.4025053424639,8.936810680825664
Mat,45.4025053424639,8.936810680825664
tar,45.400448119011536,8.93279986122861
Pas,45.39841761749892,8.929818996214877
Dan,45.397455491305934,8.927891112130613
Nes,45.39440573248522,8.92391399053838
Mel,45.40248981024111,8.933814100804602
Dar,45.39842064456383,8.92783403022029
Fra,45.397434892606,8.925887771662627
Geg,45.39243064273902,8.918992812704174
Ste,45.398435641895844,8.924877199960774
Nou,45.39947235396639,8.925891588289195
Zou,45.39947235396639,8.925891588289195
Gab,45.400419070793426,8.92680556370749
Red,45.400419070793426,8.92680556370749
Leo,45.399459011659935,8.924881276171275
Ale,45.392373577545385,8.915953848661498
Mas,45.393391200967685,8.916952071877999
Mar,45.39843948172614,8.922883288951837
mar,45.392440676839314,8.915021279613725
mos,45.400457150074146,8.92287440817806
Die,45.39838670578652,8.919850215371447
Bea,45.39843632972909,8.918907392891187
Lor,45.393353100703344,8.912937067787011
